move      2.000     1.000
     4.000     1.000
     4.000    -1.000
     2.000    -1.000
     2.000     1.000
move      6.000     2.000
     8.000     2.000
     8.000    -2.000
     6.000    -2.000
     6.000     2.000
move     -4.000     1.000
     0.000     1.000
     0.000    -1.000
    -4.000    -1.000
    -4.000     1.000
move     -6.000    10.000
    -2.000    10.000
    -2.000     6.000
    -6.000     6.000
    -6.000    10.000
move     -9.000     5.000
    -7.000     5.000
    -7.000     1.000
    -9.000     1.000
    -9.000     5.000
move     -1.000     9.000
     1.000     9.000
     1.000     5.000
    -1.000     5.000
    -1.000     9.000
move     -2.000    -2.000
     2.000    -2.000
     2.000    -6.000
    -2.000    -6.000
    -2.000    -2.000
move      0.000    -7.000
     4.000    -7.000
     4.000   -11.000
     0.000   -11.000
     0.000    -7.000
move      7.000     5.000
     9.000     5.000
     9.000     3.000
     7.000     3.000
     7.000     5.000
move     -8.000     0.000
    -6.000     0.000
    -6.000    -4.000
    -8.000    -4.000
    -8.000     0.000
